Survived,Pclass,Sex,Age,Fare,Embarked,Title,Deck,Family_Size,PassengerId
0,3,male,15.0,7.2292,C,Mr,M,3,353
0,3,female,31.0,18.0,S,Mrs,M,2,19
0,2,male,25.0,13.0,S,Mr,M,1,667
0,2,male,54.0,26.0,S,Mr,M,1,583
0,1,male,28.0,47.1,S,Mr,M,1,84
1,1,female,38.0,80.0,S,Miss,B,1,62
1,2,female,41.0,19.5,S,Mrs,M,2,273
0,3,male,33.0,8.6625,C,Mr,M,1,286
0,2,male,52.0,13.5,S,Mr,M,1,696
0,3,male,16.0,20.25,S,Mr,M,3,747
0,3,male,20.0,8.05,S,Mr,M,1,13
0,3,male,9.0,31.3875,S,Master,M,7,183
1,3,male,26.0,8.1125,S,Mr,M,1,445
0,3,male,26.0,7.8292,Q,Mr,M,1,553
0,3,male,26.0,7.8958,S,Mr,M,1,224
1,1,female,54.0,59.4,C,Mrs,M,2,514
0,3,male,26.0,7.8958,S,Mr,M,1,629
1,1,male,60.0,79.2,C,Mr,B,3,588
1,3,male,26.0,56.4958,S,Mr,M,1,693
1,1,female,44.0,57.9792,C,Mrs,B,2,524
1,3,male,20.0,7.925,S,Mr,M,2,665
0,3,male,4.0,25.4667,S,Master,M,5,177
0,2,male,16.0,10.5,S,Mr,M,1,842
0,3,female,43.0,46.9,S,Mrs,M,8,679
0,3,male,17.0,8.6625,S,Mr,M,1,164
1,1,male,37.0,52.5542,S,Mr,D,3,249
1,2,male,62.0,10.5,S,Mr,M,1,571
0,3,male,8.0,29.125,Q,Master,M,6,788
1,3,male,32.0,56.4958,S,Mr,M,1,75
0,3,female,20.0,9.825,S,Miss,M,2,114
1,2,female,28.0,13.0,S,Miss,M,1,636
0,3,female,21.0,7.75,Q,Miss,M,1,502
0,3,male,37.0,7.925,S,Mr,M,3,105
0,3,female,17.0,14.4583,C,Miss,M,1,115
1,3,female,18.0,7.75,Q,Miss,M,1,369
0,1,male,46.0,61.175,S,Mr,E,2,93
0,3,male,26.0,15.1,S,Mr,M,1,498
0,3,male,24.0,8.05,S,Mr,M,1,90
0,1,male,29.0,66.6,S,Mr,C,2,337
1,1,female,56.0,83.1583,C,Mrs,C,2,880
0,2,male,31.0,37.0042,C,Mr,M,3,818
1,3,male,26.0,7.75,Q,Mr,M,1,829
1,2,male,32.0,26.0,S,Mr,M,2,544
0,3,male,33.0,20.525,S,Mr,M,3,549
0,3,male,59.0,7.25,S,Mr,M,1,95
1,1,female,58.0,26.55,S,Miss,C,1,12
1,3,female,31.0,16.1,S,Mrs,M,2,432
1,2,female,3.0,41.5792,C,Miss,M,4,44
0,3,male,26.0,7.8958,C,Mr,M,1,43
1,1,female,16.0,57.9792,C,Miss,B,2,330
0,3,female,45.0,27.9,S,Mrs,M,6,168
1,1,female,43.0,211.3375,S,Mrs,B,2,780
1,1,female,30.0,106.425,C,Miss,M,1,538
0,3,male,28.5,16.1,S,Mr,M,1,736
0,3,male,24.0,7.7958,S,Mr,M,1,500
0,2,male,30.0,13.0,S,Mr,M,1,179
0,1,male,36.0,40.125,C,Mr,A,1,584
0,3,male,25.0,7.05,S,Mr,M,1,785
0,3,female,18.0,7.75,Q,Miss,M,3,594
0,1,female,50.0,28.7125,C,Miss,C,1,178
1,3,female,0.75,19.2583,C,Miss,M,4,645
1,1,female,24.0,49.5042,C,Miss,C,1,711
1,2,female,24.0,65.0,S,Miss,M,4,616
1,1,female,35.0,52.0,S,Mrs,M,2,384
1,1,female,30.0,86.5,S,Miss,B,1,258
0,2,male,23.0,13.0,S,Mr,M,1,735
0,3,male,26.0,7.8958,S,Mr,M,1,336
0,2,male,27.0,26.0,S,Mr,M,1,552
1,2,female,55.0,16.0,S,Mrs,M,1,16
1,1,female,35.0,53.1,S,Mrs,C,2,4
0,3,male,26.0,6.8583,Q,Mr,M,1,412
1,1,female,40.0,79.2,C,Mrs,M,1,257
0,3,male,26.0,19.9667,S,Mr,M,2,452
1,2,female,23.0,13.7917,C,Mrs,D,1,474
1,3,female,18.0,7.7333,Q,Miss,M,1,698
1,1,female,23.0,113.275,C,Miss,D,2,394
0,3,male,51.0,8.05,S,Mr,M,1,223
1,2,female,33.0,26.0,S,Mrs,M,3,507
0,3,female,29.0,21.075,S,Mrs,M,5,568
0,3,male,26.0,7.8958,C,Mr,M,1,421
0,3,male,26.0,69.55,S,Mr,M,11,325
1,2,female,2.0,26.0,S,Miss,M,3,531
1,2,female,14.0,30.0708,C,Mrs,M,2,10
0,2,male,54.0,26.0,S,Rev,M,2,250
1,3,female,15.0,8.0292,Q,Miss,M,1,23
1,1,female,22.0,55.0,S,Miss,E,2,357
0,2,male,27.0,13.0,S,Mr,M,1,222
0,3,male,26.0,7.8958,S,Mr,M,1,602
0,1,male,44.0,39.6,C,Dr,M,1,767
1,2,female,28.0,24.0,C,Mrs,M,2,875
0,3,male,39.0,7.925,S,Mr,M,1,529
1,2,male,2.0,26.0,S,Master,F,3,341
0,3,male,24.0,16.1,S,Mr,M,2,744
0,3,male,32.0,7.8958,S,Mr,M,1,520
0,3,male,45.5,7.225,C,Mr,M,1,204
1,2,female,8.0,26.25,S,Miss,M,3,238
0,3,male,26.0,20.575,S,Mr,M,4,94
1,1,female,29.0,211.3375,S,Miss,B,1,731
1,2,female,45.0,26.25,S,Mrs,M,3,441
1,3,female,36.0,17.4,S,Mrs,M,2,560
0,1,male,40.0,26.0,S,Mr,A,1,285
1,3,female,4.0,22.025,S,Miss,M,3,185
0,2,male,16.0,26.0,S,Mr,M,1,792
0,1,male,58.0,29.7,C,Mr,B,1,488
0,3,male,40.5,14.5,S,Mr,M,3,154
0,3,male,25.0,7.65,S,Mr,F,1,76
0,3,male,26.0,7.8958,S,Mr,M,1,657
0,3,male,51.0,7.0542,S,Mr,M,1,632
0,2,male,31.0,0.0,S,Mr,M,1,278
1,3,female,17.0,7.925,S,Miss,M,7,69
0,3,male,26.0,6.95,Q,Mr,M,1,826
0,3,male,40.0,15.5,Q,Mr,M,3,189
1,3,male,25.0,0.0,S,Mr,M,1,272
0,1,male,47.0,25.5875,S,Mr,E,1,663
0,1,male,40.0,26.55,S,Mr,C,1,712
0,2,male,44.0,26.0,S,Mr,M,2,237
1,1,female,23.0,263.0,S,Miss,C,6,89
0,2,male,18.0,11.5,S,Mr,M,1,758
0,2,male,29.0,21.0,S,Mr,M,2,118
1,3,male,12.0,11.2417,C,Master,M,2,126
0,3,male,11.0,18.7875,C,Mr,M,1,732
1,3,female,22.0,7.75,Q,Miss,M,1,290
0,2,male,19.0,10.5,S,Mr,M,1,239
0,3,male,22.0,7.25,S,Mr,M,2,1
0,3,male,33.0,7.8958,S,Mr,M,1,882
0,1,male,56.0,26.55,S,Mr,M,1,468
1,2,male,1.0,37.0042,C,Master,M,3,828
0,3,male,22.0,7.7958,S,Mr,M,1,396
0,3,male,26.0,7.2292,C,Mr,M,1,532
0,3,male,26.0,7.75,Q,Mr,M,1,127
0,3,male,7.0,29.125,Q,Master,M,6,279
1,3,female,4.0,13.4167,C,Miss,M,2,692
0,3,male,70.5,7.75,Q,Mr,M,1,117
0,2,male,18.0,13.0,S,Mr,M,1,229
1,3,male,20.0,15.7417,C,Mr,M,3,623
0,2,male,24.0,73.5,S,Mr,M,3,656
0,3,male,26.0,7.225,C,Mr,M,1,599
1,2,female,34.0,10.5,S,Mrs,F,1,517
1,3,female,18.0,7.75,Q,Miss,M,1,275
1,1,female,31.0,164.8667,S,Miss,C,3,319
0,3,male,30.0,7.8958,S,Mr,M,1,607
0,2,male,18.0,11.5,S,Mr,M,1,145
0,3,female,9.0,27.9,S,Miss,M,6,635
1,1,female,39.0,79.65,S,Mrs,E,3,559
1,1,female,33.0,53.1,S,Mrs,E,2,810
0,1,male,70.0,71.0,S,Capt,B,3,746
1,1,female,24.0,69.3,C,Mrs,B,1,370
1,1,female,58.0,153.4625,S,Mrs,C,2,269
0,3,male,21.0,7.8542,S,Mr,M,1,624
1,1,female,17.0,108.9,C,Mrs,C,2,308
0,3,female,28.0,14.4,S,Mrs,M,3,424
1,1,female,24.0,83.1583,C,Miss,C,1,311
0,3,male,26.0,7.225,C,Mr,M,1,355
0,3,male,26.0,15.5,Q,Mr,M,2,47
0,3,male,42.0,8.6625,S,Mr,M,1,350
0,3,male,18.0,6.4958,S,Mr,M,2,372
1,3,female,2.0,12.2875,S,Miss,M,2,480
1,2,female,34.0,13.0,S,Miss,M,1,577
1,3,male,3.0,31.3875,S,Master,M,7,262
1,1,female,58.0,146.5208,C,Miss,B,1,196
0,3,male,32.0,7.75,Q,Mr,M,1,891
1,3,male,31.0,7.925,S,Mr,M,1,745
1,3,male,26.0,7.775,S,Mr,M,1,108
1,2,female,27.0,13.8583,C,Miss,M,2,867
0,3,male,11.0,46.9,S,Master,M,8,60
0,2,male,23.0,13.0,S,Mr,M,1,659
0,1,male,40.0,0.0,S,Mr,B,1,264
0,3,male,26.0,7.2292,C,Mr,M,1,569
0,3,female,28.0,7.8958,S,Miss,M,1,101
1,2,female,28.0,13.0,S,Miss,M,1,444
0,3,male,26.0,19.9667,S,Mr,M,2,491
0,3,male,19.0,10.1708,S,Mr,M,1,688
0,3,female,30.0,24.15,S,Mrs,M,3,800
0,3,male,20.0,7.8542,S,Mr,M,1,641
0,3,male,28.0,56.4958,S,Mr,M,1,170
0,3,male,36.0,0.0,S,Mr,M,1,180
0,3,male,26.0,8.05,S,Mr,M,1,305
1,1,female,24.0,263.0,S,Miss,C,6,342
0,3,male,28.5,7.2292,C,Mr,M,1,58
1,3,female,24.0,19.2583,C,Mrs,M,4,859
0,2,male,42.0,13.0,S,Rev,M,1,150
0,1,male,54.0,77.2875,S,Mr,D,2,125
0,3,male,25.0,7.7417,Q,Mr,M,1,704
0,3,male,7.0,39.6875,S,Master,M,6,51
0,3,male,25.0,17.8,S,Mr,M,2,354
1,3,female,27.0,12.475,S,Mrs,E,2,824
1,3,female,24.0,15.85,S,Mrs,M,2,143
0,3,male,26.0,7.25,S,Mr,M,1,471
1,2,female,28.0,12.65,S,Mrs,M,1,400
0,3,male,19.0,14.5,S,Mr,M,1,576
0,3,male,22.0,7.25,S,Mr,M,1,321
1,3,female,31.0,7.225,C,Mrs,M,1,20
0,3,female,18.0,69.55,S,Miss,M,11,793
1,1,male,42.0,26.2875,S,Mr,E,1,708
0,2,male,50.0,13.0,S,Mr,M,1,724
1,2,male,3.0,18.75,S,Master,M,3,408
0,1,male,40.0,227.525,C,Mr,M,1,558
0,3,female,18.0,18.0,S,Miss,M,3,39
0,3,male,18.0,7.8542,S,Mr,M,3,176
0,1,male,44.0,90.0,Q,Dr,C,3,246
1,1,male,40.0,30.0,S,Mr,D,1,741
0,1,male,40.0,42.4,S,Mr,M,1,603
0,3,male,26.0,24.15,Q,Mr,M,2,769
0,3,male,16.0,7.775,S,Mr,M,1,765
0,3,male,26.0,7.3125,S,Mr,M,1,155
0,3,male,22.0,7.8958,S,Mr,M,1,288
1,2,female,4.0,23.0,S,Miss,M,3,751
1,2,male,31.0,13.0,S,Mr,M,1,18
1,3,male,24.0,7.1417,S,Mr,M,1,128
1,2,female,30.0,12.35,Q,Miss,M,1,323
1,3,female,29.0,15.2458,C,Mrs,M,3,256
0,3,male,24.0,9.5,S,Mr,M,1,771
1,1,female,45.0,164.8667,S,Mrs,M,3,857
1,2,female,32.0,13.0,S,Mrs,M,1,191
0,3,male,21.0,7.925,S,Mr,M,1,116
1,1,male,35.0,512.3292,C,Mr,B,1,738
0,3,female,18.0,69.55,S,Miss,M,11,181
1,3,male,26.0,23.25,Q,Mr,M,3,302
1,1,male,36.0,512.3292,C,Mr,B,2,680
0,3,female,41.0,39.6875,S,Mrs,M,6,639
1,3,female,23.0,7.55,S,Miss,M,1,650
0,3,male,34.0,14.4,S,Mr,M,3,617
1,2,female,24.0,33.0,S,Miss,M,1,597
0,3,male,26.0,24.15,Q,Mr,M,1,518
1,3,female,15.0,7.225,C,Miss,M,1,876
0,3,male,26.0,8.05,S,Mr,M,1,46
0,3,female,18.0,7.775,S,Miss,M,1,808
0,3,male,30.0,8.05,S,Mr,M,1,158
0,2,male,32.0,73.5,S,Mr,M,3,666
0,3,male,4.0,29.125,Q,Master,M,6,172
0,3,male,2.0,29.125,Q,Master,M,6,17
0,3,male,26.0,8.05,S,Mr,M,1,512
0,3,male,26.0,21.6792,C,Mr,M,3,49
1,1,female,48.0,25.9292,S,Mrs,D,1,863
0,3,male,31.0,7.75,Q,Mr,M,1,750
0,1,male,47.0,34.0208,S,Mr,D,1,516
0,3,female,26.0,16.1,S,Mrs,M,2,618
0,3,male,9.0,46.9,S,Master,M,8,481
1,3,male,19.0,8.05,S,Mr,M,1,284
0,3,male,26.0,8.05,S,Mr,M,1,590
0,3,male,22.0,9.35,S,Mr,M,1,226
0,3,male,26.0,7.225,C,Mr,M,1,27
0,2,male,28.0,33.0,S,Rev,M,2,849
1,2,female,24.0,18.75,S,Mrs,M,6,438
0,3,male,17.0,8.6625,S,Mr,M,1,845
0,3,male,26.0,15.5,Q,Mr,M,2,365
0,3,female,18.0,25.4667,S,Miss,M,5,230
0,3,male,21.0,8.05,S,Mr,M,1,38
1,1,male,51.0,26.55,S,Mr,E,1,858
0,3,female,3.0,21.075,S,Miss,M,5,375
1,3,female,0.75,19.2583,C,Miss,M,4,470
0,3,male,26.0,7.2292,C,Mr,M,1,860
0,3,male,34.0,8.05,S,Mr,M,1,759
1,2,female,18.0,23.0,S,Miss,M,2,652
1,1,female,44.0,27.7208,C,Mrs,B,1,195
0,3,male,26.0,14.5,S,Mr,M,1,761
0,3,male,26.0,9.5,S,Mr,M,1,869
0,3,female,37.0,9.5875,S,Miss,M,1,504
0,2,male,21.0,11.5,S,Mr,M,2,862
0,1,male,36.0,78.85,S,Mr,C,2,742
1,3,male,32.0,7.925,S,Mr,M,1,580
0,3,female,18.0,23.45,S,Miss,M,4,889
0,3,male,26.0,7.775,S,Mr,M,1,163
1,1,male,80.0,30.0,S,Mr,A,1,631
0,3,male,55.5,8.05,S,Mr,M,1,153
0,2,male,60.0,39.0,S,Mr,M,3,685
0,3,male,26.0,7.7333,Q,Mr,M,1,630
0,3,male,18.0,7.775,S,Mr,M,1,676
0,3,female,14.5,14.4542,C,Miss,M,2,112
1,2,male,19.0,10.5,S,Mr,M,1,227
1,2,female,4.0,39.0,S,Miss,F,4,619
0,3,male,33.0,8.6542,S,Mr,M,1,104
0,3,male,21.0,7.7333,Q,Mr,M,1,422
0,3,female,10.0,24.15,S,Miss,M,3,420
0,2,male,47.0,15.0,S,Mr,M,1,587
0,3,female,2.0,31.275,S,Miss,M,7,120
1,2,female,29.0,26.0,S,Mrs,M,2,54
1,1,female,22.0,66.6,S,Mrs,C,2,152
0,3,male,28.0,15.85,S,Mr,M,2,404
1,1,male,40.0,29.7,C,Mr,C,1,840
1,3,male,26.0,18.7875,C,Mr,M,1,208
0,3,male,33.0,9.5,S,Mr,M,1,753
1,2,female,27.0,10.5,S,Miss,E,1,718
1,3,female,27.0,11.1333,S,Mrs,M,3,9
0,2,male,34.0,13.0,S,Mr,M,1,723
1,3,male,26.0,7.2292,C,Mr,M,1,37
0,1,male,30.0,27.75,C,Mr,C,1,453
0,3,male,30.0,16.1,S,Mr,M,2,254
1,2,female,24.0,12.35,Q,Miss,E,1,304
0,3,male,26.0,7.775,S,Mr,M,1,668
1,1,female,53.0,51.4792,S,Mrs,C,3,572
0,3,male,32.0,7.925,S,Mr,M,1,637
0,2,male,52.0,13.0,S,Mr,M,1,715
0,1,male,52.0,79.65,S,Mr,E,3,263
0,3,female,39.0,31.275,S,Mrs,M,7,611
0,1,female,2.0,151.55,S,Miss,C,4,298
1,3,male,44.0,7.925,S,Mr,M,1,415
0,2,male,51.0,12.525,S,Rev,M,1,151
0,2,male,39.0,26.0,S,Mr,M,1,706
0,1,male,46.0,79.2,C,Mr,B,1,790
1,1,male,17.0,110.8833,C,Mr,C,3,551
0,3,male,30.0,8.05,S,Mr,M,1,489
0,3,female,9.0,34.375,S,Miss,M,5,148
1,3,male,27.0,7.7958,S,Mr,M,1,147
0,3,male,21.0,8.6625,S,Mr,M,1,837
0,3,male,26.0,56.4958,S,Mr,M,1,827
0,3,male,26.0,7.8958,S,Mr,M,1,871
1,3,male,3.0,15.9,S,Master,M,3,349
0,2,male,48.0,13.0,S,Mr,M,1,464
1,1,female,36.0,135.6333,C,Miss,C,1,326
1,3,female,31.0,15.5,Q,Mrs,M,2,187
1,2,female,32.5,13.0,S,Miss,E,1,124
1,1,female,33.0,86.5,S,the Countess,B,1,760
1,2,female,22.0,41.5792,C,Mrs,M,4,609
0,3,male,19.0,6.75,Q,Mr,M,1,144
0,3,male,74.0,7.775,S,Mr,M,1,852
0,3,male,42.0,8.4042,S,Mr,M,2,198
1,1,female,40.0,153.4625,S,Miss,C,1,610
1,3,female,35.0,20.25,S,Mrs,M,3,280
0,3,female,24.0,8.85,S,Miss,M,1,294
1,3,male,39.0,7.925,S,Mr,M,1,401
0,2,male,32.5,30.0708,C,Mr,M,2,123
1,2,male,1.0,39.0,S,Master,F,4,184
0,3,male,34.0,6.4958,S,Mr,M,1,203
0,1,male,64.0,263.0,S,Mr,C,6,439
0,3,female,25.0,7.775,S,Miss,M,1,247
0,3,female,31.0,8.05,S,Mrs,M,1,416
1,3,male,1.0,20.575,S,Master,M,4,789
0,3,male,45.0,6.975,S,Mr,M,1,130
0,2,male,31.0,26.25,S,Mr,M,3,638
0,3,female,21.0,9.825,S,Miss,M,2,403
0,3,male,25.0,7.8958,S,Mr,M,1,795
1,1,female,15.0,211.3375,S,Miss,B,2,690
0,3,male,26.0,7.8875,S,Mr,M,1,811
0,2,male,30.0,10.5,S,Mr,M,1,220
1,1,female,24.0,69.3,C,Miss,B,1,642
0,2,male,35.0,10.5,S,Mr,M,1,813
0,2,male,70.0,10.5,S,Mr,M,1,673
0,1,male,40.0,0.0,S,Mr,B,1,816
0,3,male,21.0,16.1,S,Mr,M,1,625
1,3,female,18.0,9.35,S,Mrs,M,2,856
0,3,female,18.0,8.1375,Q,Miss,M,1,681
0,3,male,1.0,46.9,S,Master,M,8,387
0,3,female,18.0,69.55,S,Miss,M,11,864
1,3,male,26.0,56.4958,S,Mr,M,1,510
1,3,male,25.0,7.775,S,Mr,M,2,268
0,2,male,31.0,0.0,S,Mr,M,1,733
0,3,male,20.0,9.5,S,Mr,M,1,442
1,1,female,54.0,78.2667,C,Miss,D,2,497
0,3,male,22.0,8.05,S,Mr,M,1,113
0,2,male,59.0,13.5,S,Mr,M,1,233
1,2,female,54.0,23.0,S,Mrs,M,5,775
1,1,male,27.0,30.5,S,Mr,M,1,608
0,1,male,31.0,52.0,S,Mr,B,2,672
0,1,male,22.0,135.6333,C,Mr,M,1,374
0,1,male,33.0,5.0,S,Mr,B,1,873
1,3,male,6.0,12.475,S,Master,E,2,752
1,3,female,5.0,31.3875,S,Miss,M,7,234
0,1,male,39.0,0.0,S,Mr,A,1,807
0,3,male,24.5,8.05,S,Mr,M,1,677
0,2,male,54.0,14.0,S,Dr,M,1,318
0,3,male,26.0,7.55,S,Mr,M,1,649
0,3,male,26.0,7.8958,S,Mr,M,1,411
0,3,male,30.0,7.2292,C,Mr,M,1,799
1,3,female,18.0,7.8792,Q,Miss,M,1,359
1,1,female,35.0,512.3292,C,Miss,M,1,259
1,1,female,21.0,77.9583,S,Miss,D,1,628
1,1,male,32.0,30.5,C,Dr,B,1,633
0,3,male,16.0,9.5,S,Mr,M,1,283
1,3,female,22.0,7.25,S,Miss,M,1,377
0,3,male,26.0,7.8958,S,Mr,M,1,385
1,1,male,38.0,90.0,S,Mr,C,2,225
0,3,male,26.0,69.55,S,Mr,M,11,847
0,2,male,25.0,26.0,S,Mr,M,2,729
1,2,female,33.0,27.75,S,Mrs,M,4,473
1,3,female,31.0,16.1,S,Mrs,M,2,348
0,1,male,18.0,108.9,C,Mr,C,2,506
0,3,male,26.0,16.1,S,Mr,M,2,640
0,3,male,26.0,7.8958,S,Mr,M,1,879
0,3,male,2.0,39.6875,S,Master,M,6,825
1,3,male,0.42,8.5167,C,Master,M,2,804
0,2,male,26.0,10.5,S,Mr,M,1,620
0,3,male,41.0,7.125,S,Mr,M,1,762
1,1,male,48.0,76.7292,C,Mr,D,2,646
1,2,female,48.0,65.0,S,Mrs,M,4,755
1,1,female,48.0,39.6,C,Lady,A,2,557
0,3,male,4.0,31.275,S,Master,M,7,851
1,1,female,39.0,55.9,S,Mrs,E,2,578
1,3,female,33.0,15.85,S,Mrs,M,4,86
0,2,male,29.0,10.5,S,Mr,M,1,243
0,1,male,49.0,110.8833,C,Mr,C,3,699
0,3,male,4.0,69.55,S,Master,M,11,160
0,3,male,26.0,7.2292,C,Mr,M,1,525
0,1,male,42.0,52.0,S,Mr,M,2,36
1,1,female,36.0,71.0,S,Miss,B,3,541
0,1,male,61.0,33.5,S,Mr,B,1,171
0,3,female,18.0,6.75,Q,Miss,M,1,655
1,3,female,18.0,7.4958,S,Miss,M,1,787
1,2,male,0.67,14.5,S,Master,M,3,756
1,3,male,32.0,56.4958,S,Mr,M,1,839
0,3,male,26.0,8.05,S,Mr,M,1,96
0,3,male,26.0,8.05,S,Mr,M,1,564
0,3,female,18.0,14.4542,C,Miss,M,2,241
0,3,male,16.0,8.05,S,Mr,M,1,575
1,1,male,31.0,57.0,S,Mr,B,2,691
1,1,male,48.0,26.55,S,Mr,E,1,461
1,3,male,22.0,7.225,C,Mr,M,1,554
1,3,female,13.0,7.2292,C,Miss,M,1,781
0,3,male,32.0,15.85,S,Mr,M,2,207
0,3,male,28.0,7.925,S,Mr,M,3,393
0,2,male,46.0,26.0,S,Mr,M,1,398
0,3,male,28.0,7.7958,S,Mr,M,1,757
0,2,male,42.0,27.0,S,Mr,M,2,218
0,3,male,35.0,8.05,S,Mr,M,1,5
0,3,female,2.0,27.9,S,Miss,M,6,643
1,3,female,31.0,8.6833,S,Mrs,M,1,798
1,3,female,18.0,15.5,Q,Miss,M,2,613
